CpG_id	intercept	f	pval	qval	CpG_id	geneSymbol	posDesc	chr	start	end	CpG_id	beta(AD)	beta(Normal)	Delta beta
cg06915321	0.0	0.0	0.001087229109074	0.0	cg06915321	ZIC3	TSS200	X	136648249	136648372		0.0	0.0	0.0	
cg26746069	0.0	0.0	0.00110210778231119	0.0	cg26746069	WDR44	TSS1500	X	117479618	117479741		0.0	0.0	0.0	
cg12704708	0.0	0.0	0.0011237789256215	0.0	cg12704708	PPP1R3F	TSS200	X	49126241	49126364		0.0	0.0	0.0	
cg00645049	0.0	0.0	0.00113861806231835	0.0	cg00645049	ATP6AP1	TSS200	X	153656930	153657053		0.0	0.0	0.0	
cg16257494	0.0	0.0	0.0011396386145271	0.0	cg16257494	TMSB4X	TSS200	X	12993211	12993334		0.0	0.0	0.0	
cg08076861	0.0	0.0	0.00117104135959801	0.0	cg08076861	ZNF275	TSS1500	X	152599398	152599521		0.0	0.0	0.0	
cg17588626	0.0	0.0	0.00118528870016979	0.0	cg17588626	GPM6B	TSS1500	X	106692551	106692674		0.0	0.0	0.0	
cg05908188	0.0	0.0	0.00120739656943658	0.0	cg05908188	ZNF75D	TSS1500	X	134478884	134479007		0.0	0.0	0.0	
cg21864829	0.0	0.0	0.0012336118871895	0.0	cg21864829	EMD	TSS1500	X	153606530	153606653		0.0	0.0	0.0	
cg02011394	0.0	0.0	0.0012336859048843	0.0	cg02011394	TSPY4	TSS1500	Y	9194502	9194625		0.0	0.0	0.0	
cg01813294	0.0	0.0	0.00124390593397802	0.0	cg01813294	NHS	TSS200	X	17393426	17393549		0.0	0.0	0.0	
cg23455407	0.0	0.0	0.00125208390095872	0.0	cg23455407	SNX12	TSS200	X	70288342	70288465		0.0	0.0	0.0	
cg08357313	0.0	0.0	0.00125478631075793	0.0	cg08357313	RBMY1A3P	TSS1500	Y	9161051	9161174		0.0	0.0	0.0	
cg08822676	0.0	0.0	0.00127244646134709	0.0	cg08822676	LONRF3	TSS1500	X	118107997	118108120		0.0	0.0	0.0	
cg19937618	0.0	0.0	0.0012812197046883	0.0	cg19937618	TFE3	TSS200	X	48901183	48901306		0.0	0.0	0.0	
cg27609596	0.0	0.0	0.00129915430795495	0.0	cg27609596	PTCHD1	TSS1500	X	23351750	23351873		0.0	0.0	0.0	
cg11653314	0.0	0.0	0.00130777062012374	0.0	cg11653314	RPS6KA3	TSS1500	X	20285129	20285252		0.0	0.0	0.0	
cg20445038	0.0	0.0	0.00133532311599786	0.0	cg20445038	VMA21	TSS200	X	150565466	150565589		0.0	0.0	0.0	
cg10576817	0.0	0.0	0.00133574649500844	0.0	cg10576817	FAM127C	TSS200	X	134156680	134156803		0.0	0.0	0.0	
cg05621349	0.0	0.0	0.00135487615224612	0.0	cg05621349	CYorf15A	TSS200	Y	21729069	21729192		0.0	0.0	0.0	
cg13649400	0.0	0.0	0.00135730749231005	0.0	cg13649400	FAM120C	TSS1500	X	54209968	54210091		0.0	0.0	0.0	
cg26308359	0.0	0.0	0.00136062697545955	0.0	cg26308359	VMA21	TSS1500	X	150565446	150565569		0.0	0.0	0.0	
cg09350919	0.0	0.0	0.00141095731494416	0.0	cg09350919	TSPY3	TSS1500	Y	9365070	9365193		0.0	0.0	0.0	
cg07816287	0.0	0.0	0.0014117204140764	0.0	cg07816287	GPC3	TSS200	X	133119692	133119815		0.0	0.0	0.0	
cg06137672	0.0	0.0	0.00141230936224636	0.0	cg06137672	IDH3G	TSS200	X	153060026	153060149		0.0	0.0	0.0	
cg16531277	0.0	0.0	0.00141788132037421	0.0	cg16531277	SRPK3	TSS200	X	128812557	128812680		0.0	0.0	0.0	
cg20056133	0.0	0.0	0.00142647434283049	0.0	cg20056133	CSTF2	TSS200	X	100075233	100075356		0.0	0.0	0.0	
cg05865243	0.0	0.0	0.0014469387451267	0.0	cg05865243	TSPY2	TSS200	Y	6114255	6114378		0.0	0.0	0.0	
cg06455206	0.0	0.0	0.00146157039853588	0.0	cg06455206	USP27X	TSS1500	X	49643431	49643554		0.0	0.0	0.0	
cg17149359	0.0	0.0	0.00146443759417114	0.0	cg17149359	C1GALT1C1	TSS200	X	119764131	119764254		0.0	0.0	0.0	
cg07828380	0.0	0.0	0.00146848418683326	0.0	cg07828380	ARHGAP6	TSS200	X	11683977	11684100		0.0	0.0	0.0	
cg12586718	0.0	0.0	0.00147150297870188	0.0	cg12586718	UBL4A	TSS200	X	153715055	153715178		0.0	0.0	0.0	
cg16590821	0.0	0.0	0.00147507364058708	0.0	cg16590821	LONRF3	TSS1500	X	118107876	118107999		0.0	0.0	0.0	
cg21491240	0.0	0.0	0.0014785434856171	0.0	cg21491240	HTATSF1	TSS1500	X	135578828	135578951		0.0	0.0	0.0	
cg05137263	0.0	0.0	0.00148571664188079	0.0	cg05137263	NR0B1	TSS200	X	30327625	30327748		0.0	0.0	0.0	
cg23892645	0.0	0.0	0.00150109549423495	0.0	cg23892645	PGRMC1	TSS200	X	118370162	118370285		0.0	0.0	0.0	
cg27355713	0.0	0.0	0.0015261330027697	0.0	cg27355713	TBL1Y	TSS200	Y	6778543	6778666		0.0	0.0	0.0	
cg03219705	0.0	0.0	0.00154377884100358	0.0	cg03219705	TSPAN7	TSS200	X	38420578	38420701		0.0	0.0	0.0	
cg21557668	0.0	0.0	0.00154898768206444	0.0	cg21557668	NHSL2	TSS1500	X	71130538	71130661		0.0	0.0	0.0	
cg09978401	0.0	0.0	0.00155783840339911	0.0	cg09978401	PRPS2	TSS1500	X	12809216	12809339		0.0	0.0	0.0	
cg14137558	0.0	0.0	0.0015617280684762	0.0	cg14137558	UTP14A	TSS200	X	129040091	129040214		0.0	0.0	0.0	
cg25848037	0.0	0.0	0.00156295731327167	0.0	cg25848037	GRIPAP1	TSS200	X	73756753	73756876		0.0	0.0	0.0	
cg04016144	0.0	0.0	0.00157594562886887	0.0	cg04016144	TSPY4	TSS1500	Y	9215053	9215176		0.0	0.0	0.0	
cg10869581	0.0	0.0	0.00158140828777395	0.0	cg10869581	BHLHB9	TSS200	X	102000905	102001028		0.0	0.0	0.0	
cg17399684	0.0	0.0	0.00158236934251876	0.0	cg17399684	ELK1	TSS200	X	47510170	47510293		0.0	0.0	0.0	
cg03748372	0.0	0.0	0.00160028058743812	0.0	cg03748372	PPP1R3F	TSS200	X	49126128	49126251		0.0	0.0	0.0	
cg12598428	0.0	0.0	0.00160495023808713	0.0	cg12598428	EMD	TSS200	X	153607534	153607657		0.0	0.0	0.0	
cg01370077	0.0	0.0	0.00161126650864747	0.0	cg01370077	VMA21	TSS1500	X	150565243	150565366		0.0	0.0	0.0	
cg00769799	0.0	0.0	0.0016134766921102	0.0	cg00769799	HPRT1	TSS200	X	133594079	133594202		0.0	0.0	0.0	
cg27501007	0.0	0.0	0.00161729141357641	0.0	cg27501007	IL13RA1	TSS200	X	117861380	117861503		0.0	0.0	0.0	
cg03773146	0.0	0.0	0.00162653983913018	0.0	cg03773146	PCDH19	TSS1500	X	129114634	129114757		0.0	0.0	0.0	
cg04327763	0.0	0.0	0.00162808373585173	0.0	cg04327763	RPL39	TSS200	X	118925713	118925836		0.0	0.0	0.0	
cg16617753	0.0	0.0	0.00164550557412732	0.0	cg16617753	GK	TSS1500	X	30671090	30671213		0.0	0.0	0.0	
cg15170964	0.0	0.0	0.00165957055321431	0.0	cg15170964	TSPAN7	TSS1500	X	38420418	38420541		0.0	0.0	0.0	
cg01891172	0.0	0.0	0.00166027328218462	0.0	cg01891172	KLHL34	TSS200	X	21676483	21676606		0.0	0.0	0.0	
cg16272791	0.0	0.0	0.00166972732111601	0.0	cg16272791	GPC3	TSS1500	X	133119921	133120044		0.0	0.0	0.0	
cg03319489	0.0	0.0	0.00167654734367449	0.0	cg03319489	HUWE1	TSS1500	X	53713873	53713996		0.0	0.0	0.0	
cg20749341	0.0	0.0	0.00167712807905727	0.0	cg20749341	LONRF3	TSS200	X	118108666	118108789		0.0	0.0	0.0	
cg12298823	0.0	0.0	0.00169951341593346	0.0	cg12298823	OTUD5	TSS1500	X	48815744	48815867		0.0	0.0	0.0	
cg08812897	0.0	0.0	0.0017098838331684	0.0	cg08812897	RPS6KA3	TSS1500	X	20286243	20286366		0.0	0.0	0.0	
cg13431666	0.0	0.0	0.00171312401426558	0.0	cg13431666	TSPAN7	TSS1500	X	38420436	38420559		0.0	0.0	0.0	
cg21284493	0.0	0.0	0.00171787919229051	0.0	cg21284493	TCEAL1	TSS1500	X	53123624	53123747		0.0	0.0	0.0	
cg07939587	0.0	0.0	0.00172554370979873	0.0	cg07939587	TSPY2	TSS1500	Y	2657936	2658059		0.0	0.0	0.0	
cg04149024	0.0	0.0	0.00172833391533907	0.0	cg04149024	ATP6AP1	TSS200	X	153656891	153657014		0.0	0.0	0.0	
cg12521790	0.0	0.0	0.0017355061533303	0.0	cg12521790	SYP	TSS200	X	49056693	49056816		0.0	0.0	0.0	
cg08282969	0.0	0.0	0.00174295643862795	0.0	cg08282969	XIAP	TSS200	X	122993891	122994014		0.0	0.0	0.0	
cg11154719	0.0	0.0	0.00174462128695438	0.0	cg11154719	IDH3G	TSS1500	X	153060450	153060573		0.0	0.0	0.0	
cg22824415	0.0	0.0	0.00177953078198075	0.0	cg22824415	LONRF3	TSS200	X	118108546	118108669		0.0	0.0	0.0	
cg22776211	0.0	0.0	0.00178358881991607	0.0	cg22776211	FAM155B	TSS200	X	68725072	68725195		0.0	0.0	0.0	
cg01828474	0.0	0.0	0.00178464106189442	0.0	cg01828474	KLHL34	TSS200	X	21676593	21676716		0.0	0.0	0.0	
cg08702825	0.0	0.0	0.00179130812761344	0.0	cg08702825	RPS4Y1	TSS1500	Y	8148094	8148217		0.0	0.0	0.0	
cg21635596	0.0	0.0	0.00179200231527875	0.0	cg21635596	LOC100303728	TSS200	X	118603118	118603241		0.0	0.0	0.0	
cg10170893	0.0	0.0	0.00179352972104198	0.0	cg10170893	ZNF630	TSS1500	X	47931142	47931265		0.0	0.0	0.0	
cg02407581	0.0	0.0	0.00180455996800214	0.0	cg02407581	TTTY18	TSS1500	Y	8553302	8553425		0.0	0.0	0.0	
cg24512517	0.0	0.0	0.00181748542725831	0.0	cg24512517	PSMD10	TSS1500	X	107335106	107335229		0.0	0.0	0.0	
cg21179956	0.0	0.0	0.0018185164997534	0.0	cg21179956	GPR101	TSS200	X	136114018	136114141		0.0	0.0	0.0	
cg04371001	0.0	0.0	0.0018212815097552	0.0	cg04371001	UBL4A	TSS1500	X	153715321	153715444		0.0	0.0	0.0	
cg22807592	0.0	0.0	0.00182476657909575	0.0	cg22807592	GPRASP2	TSS200	X	101967307	101967430		0.0	0.0	0.0	
cg08358587	0.0	0.0	0.001827344521588	0.0	cg08358587	TIMM8A	TSS200	X	100603709	100603832		0.0	0.0	0.0	
cg13023833	0.0	0.0	0.00183168271893181	0.0	cg13023833	ELK1	TSS200	X	47510183	47510306		0.0	0.0	0.0	
cg06915915	0.0	0.0	0.00183419917367761	0.0	cg06915915	ZIC3	TSS200	X	129657974	129658097		0.0	0.0	0.0	
cg06164717	0.0	0.0	0.00183521909446001	0.0	cg06164717	GPR101	TSS200	X	136114030	136114153		0.0	0.0	0.0	
cg15565409	0.0	0.0	0.00183963294840805	0.0	cg15565409	SLC25A43	TSS200	X	118533172	118533295		0.0	0.0	0.0	
cg06136002	0.0	0.0	0.001849639219574	0.0	cg06136002	HMGB3	TSS200	X	150151615	150151738		0.0	0.0	0.0	
cg11111271	0.0	0.0	0.0018498875491717	0.0	cg11111271	CXorf57	TSS200	X	118616736	118616859		0.0	0.0	0.0	
cg01364818	0.0	0.0	0.00185052308066707	0.0	cg01364818	ZNF280C	TSS200	X	129402953	129403076		0.0	0.0	0.0	
cg25587058	0.0	0.0	0.00185145615816165	0.0	cg25587058	AFF2	TSS1500	X	147581919	147582042		0.0	0.0	0.0	
cg04317640	0.0	0.0	0.00188061054691764	0.0	cg04317640	SLC16A2	TSS1500	X	73640431	73640554		0.0	0.0	0.0	
cg00478198	0.0	0.0	0.0018936397080234	0.0	cg00478198	LOC158572	TSS1500	X	49644500	49644623		0.0	0.0	0.0	
cg10102167	0.0	0.0	0.00189540014095408	0.0	cg10102167	PGRMC1	TSS200	X	118370063	118370186		0.0	0.0	0.0	
cg16314146	0.0	0.0	0.00189576288596754	0.0	cg16314146	HTATSF1	TSS200	X	135579481	135579604		0.0	0.0	0.0	
cg03944921	0.0	0.0	0.00190073452762114	0.0	cg03944921	WDR44	TSS200	X	117479980	117480103		0.0	0.0	0.0	
cg05958126	0.0	0.0	0.00190523988397343	0.0	cg05958126	MAP3K15	TSS200	X	19533458	19533581		0.0	0.0	0.0	
cg05223760	0.0	0.0	0.00190915299613569	0.0	cg05223760	PPP1R3F	TSS200	X	49126243	49126366		0.0	0.0	0.0	
cg07837161	0.0	0.0	0.00191539569521081	0.0	cg07837161	FAM3A	TSS200	X	153744667	153744790		0.0	0.0	0.0	
cg01807728	0.0	0.0	0.00193008126087408	0.0	cg01807728	HMGB3	TSS200	X	150151624	150151747		0.0	0.0	0.0	
cg21161328	0.0	0.0	0.00193148987455628	0.0	cg21161328	ZNF41	TSS200	X	47342498	47342621		0.0	0.0	0.0	
cg15906052	0.0	0.0	0.00193322424746715	0.0	cg15906052	MAP3K15	TSS200	X	19533539	19533662		0.0	0.0	0.0	
cg25442487	0.0	0.0	0.00194369778494222	0.0	cg25442487	ZNF674	TSS200	X	133306916	133307039		0.0	0.0	0.0	
cg25499687	0.0	0.0	0.00194587345498486	0.0	cg25499687	PHF6	TSS200	X	133507336	133507459		0.0	0.0	0.0	
cg01191902	0.0	0.0	0.00194938949887767	0.0	cg01191902	PRAF2	TSS200	X	48931851	48931974		0.0	0.0	0.0	
cg09850561	0.0	0.0	0.00195095312505971	0.0	cg09850561	TSPAN7	TSS200	X	38420581	38420704		0.0	0.0	0.0	
cg15841434	0.0	0.0	0.00196252247559909	0.0	cg15841434	PORCN	TSS200	X	48367203	48367326		0.0	0.0	0.0	
cg24748621	0.0	0.0	0.00196311687266696	0.0	cg24748621	WDR45	TSS200	X	48958121	48958244		0.0	0.0	0.0	
cg05438092	0.0	0.0	0.00197919422627543	0.0	cg05438092	FLNA	TSS200	X	153603066	153603189		0.0	0.0	0.0	
cg22682567	0.0	0.0	0.001980411895969	0.0	cg22682567	RPL36A	TSS200	X	100645938	100646061		0.0	0.0	0.0	
cg27207144	0.0	0.0	0.00198226405502581	0.0	cg27207144	RPL10	TSS200	X	153626500	153626623		0.0	0.0	0.0	
cg15345580	0.0	0.0	0.00198674299025574	0.0	cg15345580	PDK3	TSS200	X	24483294	24483417		0.0	0.0	0.0	
cg13178935	0.0	0.0	0.00199638430151345	0.0	cg13178935	HDAC6	TSS1500	X	48660228	48660351		0.0	0.0	0.0	
cg05961595	0.0	0.0	0.00199763060097163	0.0	cg05961595	APEX2	TSS1500	X	55026485	55026608		0.0	0.0	0.0	
cg07851521	0.0	0.0	0.00200747898245148	0.0	cg07851521	TSPY2	TSS1500	Y	6113261	6113384		0.0	0.0	0.0	
cg22575892	0.0	0.0	0.0020080257075469	0.0	cg22575892	DOCK11	TSS1500	X	117629344	117629467		0.0	0.0	0.0	
cg08648877	0.0	0.0	0.0020188122079165	0.0	cg08648877	SLC10A3	TSS200	X	153719071	153719194		0.0	0.0	0.0	
cg13183496	0.0	0.0	0.00202097852950926	0.0	cg13183496	FAM120C	TSS1500	X	54209920	54210043		0.0	0.0	0.0	
cg16108684	0.0	0.0	0.00202316432978086	0.0	cg16108684	DCAF12L2	TSS200	X	125300035	125300158		0.0	0.0	0.0	
cg03730082	0.0	0.0	0.00202359956312541	0.0	cg03730082	FAM123B	TSS200	X	63425725	63425848		0.0	0.0	0.0	
cg22452543	0.0	0.0	0.00202617661613334	0.0	cg22452543	TKTL1	TSS1500	X	149530926	149531049		0.0	0.0	0.0	
cg26382696	0.0	0.0	0.0020323117158854	0.0	cg26382696	FAM104B	TSS200	X	55187708	55187831		0.0	0.0	0.0	
cg10991108	0.0	0.0	0.00203797675659931	0.0	cg10991108	WDR45	TSS1500	X	48958414	48958537		0.0	0.0	0.0	
cg26951364	0.0	0.0	0.00204173042864892	0.0	cg26951364	KIAA1210	TSS200	X	133306382	133306505		0.0	0.0	0.0	
cg16940942	0.0	0.0	0.0020504619450579	0.0	cg16940942	FAM50A	TSS200	X	153672336	153672459		0.0	0.0	0.0	
cg05378695	0.0	0.0	0.00206933653940543	0.0	cg05378695	TTTY8	TSS1500	Y	9528418	9528541		0.0	0.0	0.0	
cg16637019	0.0	0.0	0.00207508889170105	0.0	cg16637019	CHRDL1	TSS200	X	110039349	110039472		0.0	0.0	0.0	
cg17547524	0.0	0.0	0.00207891508838559	0.0	cg17547524	DOCK11	TSS1500	X	117629324	117629447		0.0	0.0	0.0	
cg02869694	0.0	0.0	0.00208556669635463	0.0	cg02869694	IKBKG	TSS1500	X	153775262	153775385		0.0	0.0	0.0	
cg03983969	0.0	0.0	0.0020911903651579	0.0	cg03983969	CASK	TSS1500	X	41782695	41782818		0.0	0.0	0.0	
cg19506937	0.0	0.0	0.00209101475174587	0.0	cg19506937	APEX2	TSS200	X	55026774	55026897		0.0	0.0	0.0	
cg04855977	0.0	0.0	0.00209495870653839	0.0	cg04855977	ZDHHC9	TSS200	X	128977653	128977776		0.0	0.0	0.0	
cg25790081	0.0	0.0	0.00210298635417014	0.0	cg25790081	YIPF6	TSS1500	X	67718547	67718670		0.0	0.0	0.0	
cg11867195	0.0	0.0	0.0021203779348185	0.0	cg11867195	ZBTB33	TSS200	X	119384450	119384573		0.0	0.0	0.0	
cg12472218	0.0	0.0	0.00212050135102724	0.0	cg12472218	SCML1	TSS1500	X	17755211	17755334		0.0	0.0	0.0	
cg03372815	0.0	0.0	0.00212193666544586	0.0	cg03372815	CD99L2	TSS1500	X	150067397	150067520		0.0	0.0	0.0	
cg22050539	0.0	0.0	0.00213551367370957	0.0	cg22050539	MMGT1	TSS1500	X	135056691	135056814		0.0	0.0	0.0	
cg14520892	0.0	0.0	0.00213885355040448	0.0	cg14520892	POLA1	TSS1500	X	24711633	24711756		0.0	0.0	0.0	
cg06266461	0.0	0.0	0.00214803141503825	0.0	cg06266461	SLC10A3	TSS200	X	153719192	153719315		0.0	0.0	0.0	
cg01384686	0.0	0.0	0.00215369988302532	0.0	cg01384686	HTATSF1	TSS200	X	135579487	135579610		0.0	0.0	0.0	
cg19867709	0.0	0.0	0.00215585146461725	0.0	cg19867709	ZNF41	TSS200	X	47342478	47342601		0.0	0.0	0.0	
cg04075675	0.0	0.0	0.00216208877197126	0.0	cg04075675	MTMR1	TSS200	X	149861694	149861817		0.0	0.0	0.0	
cg02272584	0.0	0.0	0.00216401869506122	0.0	cg02272584	EIF1AY	TSS200	Y	8146855	8146978		0.0	0.0	0.0	
cg10305945	0.0	0.0	0.0021839055132214	0.0	cg10305945	SLC25A5	TSS200	X	118602187	118602310		0.0	0.0	0.0	
cg18536496	0.0	0.0	0.00219525100302403	0.0	cg18536496	GPRASP1	TSS1500	X	101906035	101906158		0.0	0.0	0.0	
cg09738386	0.0	0.0	0.0021952859038544	0.0	cg09738386	RPL36A	TSS200	X	100645872	100645995		0.0	0.0	0.0	
cg22221554	0.0	0.0	0.00221129729668524	0.0	cg22221554	ELF4	TSS1500	X	129245238	129245361		0.0	0.0	0.0	
cg02756511	0.0	0.0	0.00222052348946103	0.0	cg02756511	GAGE10	TSS1500	X	106693692	106693815		0.0	0.0	0.0	
cg24340926	0.0	0.0	0.00222101844629992	0.0	cg24340926	RAB33A	TSS1500	X	129305036	129305159		0.0	0.0	0.0	
cg00993140	0.0	0.0	0.00222801297230445	0.0	cg00993140	DACH2	TSS1500	X	85403122	85403245		0.0	0.0	0.0	
cg10723245	0.0	0.0	0.00222891845169128	0.0	cg10723245	MCART6	TSS1500	X	103401991	103402114		0.0	0.0	0.0	
cg14970569	0.0	0.0	0.00222989317678467	0.0	cg14970569	NCRNA00086	TSS200	X	134555714	134555837		0.0	0.0	0.0	
cg04419618	0.0	0.0	0.00224429976566169	0.0	cg04419618	RBMX	TSS200	X	135962940	135963063		0.0	0.0	0.0	
cg21953876	0.0	0.0	0.00224308825163778	0.0	cg21953876	PRPS2	TSS200	X	12809345	12809468		0.0	0.0	0.0	
cg25205946	0.0	0.0	0.00224429541001845	0.0	cg25205946	WDR45	TSS200	X	48958189	48958312		0.0	0.0	0.0	
cg13788004	0.0	0.0	0.00224737363631162	0.0	cg13788004	MAP3K7IP3	TSS200	X	30907515	30907638		0.0	0.0	0.0	
cg04028570	0.0	0.0	0.00224697821203902	0.0	cg04028570	OR2L13	TSS200	1	248100427	248100550		0.0	0.0	0.0	
cg08199506	0.0	0.0	0.00226770003093701	0.0	cg08199506	FAM120C	TSS1500	X	54209916	54210039		0.0	0.0	0.0	
cg18885073	0.0	0.0	0.00227691368486525	0.0	cg18885073	PGRMC1	TSS200	X	118370148	118370271		0.0	0.0	0.0	
cg09347151	0.0	0.0	0.00227829143079971	0.0	cg09347151	NCRNA00086	TSS1500	X	134555540	134555663		0.0	0.0	0.0	
cg21890239	0.0	0.0	0.00228277940893955	0.0	cg21890239	ATRX	TSS200	X	136509643	136509766		0.0	0.0	0.0	
cg19944582	0.0	0.0	0.00228349919231148	0.0	cg19944582	DKC1	TSS200	X	153990954	153991077		0.0	0.0	0.0	
cg11308037	0.0	0.0	0.0022875740678581	0.0	cg11308037	FAM3A	TSS200	X	153744609	153744732		0.0	0.0	0.0	
cg07973464	0.0	0.0	0.00228975887884786	0.0	cg07973464	NHS	TSS200	X	17393423	17393546		0.0	0.0	0.0	
cg17363084	0.0	0.0	0.00229149775885753	0.0	cg17363084	LOC100303728	TSS200	X	118603274	118603397		0.0	0.0	0.0	
cg23990273	0.0	0.0	0.00229169838256043	0.0	cg23990273	GABRQ	TSS200	X	151806472	151806595		0.0	0.0	0.0	
cg26680189	0.0	0.0	0.00229712186639765	0.0	cg26680189	HDAC6	TSS1500	X	48659965	48660088		0.0	0.0	0.0	
cg17155577	0.0	0.0	0.00230737084122979	0.0	cg17155577	TMEM164	TSS1500	X	109245482	109245605		0.0	0.0	0.0	
cg17788031	0.0	0.0	0.00230821405388157	0.0	cg17788031	MAOA	TSS1500	X	43514189	43514312		0.0	0.0	0.0	
cg10274815	0.0	0.0	0.00232524196148367	0.0	cg10274815	EFNB1	TSS1500	X	68048015	68048138		0.0	0.0	0.0	
cg26983535	0.0	0.0	0.00232756348387465	0.0	cg26983535	EIF1AY	TSS200	Y	22737594	22737717		0.0	0.0	0.0	
cg18140045	0.0	0.0	0.00233129021735331	0.0	cg18140045	NDUFB11	TSS1500	X	47004878	47005001		0.0	0.0	0.0	
cg03825574	0.0	0.0	0.0023313447219194	0.0	cg03825574	BCORL1	TSS200	X	129116503	129116626		0.0	0.0	0.0	
cg06269080	0.0	0.0	0.00233969821179944	0.0	cg06269080	PHKA2	TSS1500	X	19003031	19003154		0.0	0.0	0.0	
cg11111131	0.0	0.0	0.00234351595937134	0.0	cg11111131	CXorf57	TSS200	X	105855108	105855231		0.0	0.0	0.0	
cg06783548	0.0	0.0	0.00235407371798281	0.0	cg06783548	SYN1	TSS200	X	47479436	47479559		0.0	0.0	0.0	
cg27248959	0.0	0.0	0.00235898538967282	0.0	cg27248959	NLGN4Y	TSS200	Y	10035199	10035322		0.0	0.0	0.0	
cg12075609	0.0	0.0	0.00235962439295368	0.0	cg12075609	GAB3	TSS200	X	153979476	153979599		0.0	0.0	0.0	
cg08757719	0.0	0.0	0.0023618564445066	0.0	cg08757719	TCEAL3	TSS200	X	102862789	102862912		0.0	0.0	0.0	
cg10473383	0.0	0.0	0.00236229678902646	0.0	cg10473383	ZNF711	TSS1500	X	84498775	84498898		0.0	0.0	0.0	
cg12177454	0.0	0.0	0.00237437979303351	0.0	cg12177454	ARMCX3	TSS200	X	100877938	100878061		0.0	0.0	0.0	
cg23712855	0.0	0.0	0.00237469266584348	0.0	cg23712855	DKC1	TSS200	X	153991009	153991132		0.0	0.0	0.0	
cg27616996	0.0	0.0	0.00238080639949573	0.0	cg27616996	IRAK1	TSS1500	X	153285934	153286057		0.0	0.0	0.0	
cg00904184	0.0	0.0	0.00238524043566202	0.0	cg00904184	FAM123B	TSS1500	X	63425896	63426019		0.0	0.0	0.0	
cg05143403	0.0	0.0	0.00239921561268177	0.0	cg05143403	RRAGB	TSS200	X	55744049	55744172		0.0	0.0	0.0	
